Applicant Name,ESD Region,Type of Business,Track,Jobs When Certified,Net New Jobs Commitment,Investment Commitment,Research and Development Commitment,Maximum Tax Credits
"Caribbean Food Delights, Inc.",MH,Manufacturing,Jobs Track,118,20,0.00,0.00,"200,000.00"
Carlisle Construction Materials Incorporated,MH,Manufacturing,Investment Track,72,22,"800,000.00",0.00,"655,174.00"
Center Line Studios,MH,Manufacturing,Jobs Track,7,25,0.00,0.00,"340,000.00"
"Contract Packaging Services, Inc.",MH,Distribution,Investment Track,303,105,"3,800,000.00",0.00,"1,000,000.00"
ContraFect Corporation,MH,Scientific R & D,Jobs Track,5,65,0.00,"16,000,000.00","815,000.00"
"Cool Life Systems, Inc.",MH,Software Dev,Jobs Track,17,199,"6,000,000.00",0.00,"1,590,000.00"
"Crown Awards, Inc.",MH,Manufacturing,Jobs Track,256,90,"6,400,000.00","12,000,000.00","1,500,000.00"
Crystal Run Healthcare LLP,MH,Back Office,Jobs Track,"1,189",200,0.00,0.00,"3,200,000.00"
"Fairbanks Manufacturing, LLC",MH,Manufacturing,Jobs Track,0,81,"7,375,000.00",0.00,"450,000.00"
Gabrielle Manufacturing LLC,MH,Manufacturing,Jobs Track,18,50,0.00,0.00,"241,535.00"
"GPSDC (New York), Inc.",MH,Distribution,Jobs Track,428,"1,200",0.00,0.00,"12,000,000.00"
"Great American Cake, Inc.",MH,Manufacturing,Jobs Track,0,115,0.00,0.00,"500,000.00"
"Hudson Valley Lighting, Inc.",MH,Distribution,Investment Track,48,13,0.00,0.00,"200,000.00"
Kawasaki Rail Car Inc.,MH,Manufacturing,Investment Track,375,80,"15,200,000.00",0.00,"750,000.00"
"Kikkerfrosch, LLC",MH,Manufacturing,Jobs Track,0,72,0.00,0.00,"500,000.00"
LeCroy Corporation,MH,Manufacturing,Jobs Track,244,244,"1,740,000.00","35,000,000.00","1,250,000.00"
"Linuo Group Co., Ltd.",MH,Manufacturing,Jobs Track,0,596,0.00,0.00,"6,000,000.00"
"Mastercard Incorporated, Inc.",MH,Back Office,Jobs Track,"1,425",392,0.00,0.00,"10,000,000.00"
McKesson Corporation,MH,Distribution,Jobs Track,800,164,0.00,0.00,"1,000,000.00"
Mediacom Communications Corporation,MH,Back Office,Investment Track,250,140,"34,770,000.00",0.00,"6,500,000.00"
Mindspark Interactive Network Inc.,MH,Software Dev,Jobs Track,183,30,"2,500,000.00",0.00,"680,000.00"
"Monroe Cable Company, Inc., The",MH,Manufacturing,Jobs Track,118,50,0.00,0.00,"650,000.00"
"Motion Laboratories, Inc.",MH,Manufacturing,Jobs Track,70,70,0.00,0.00,"1,000,000.00"
"OrthoNet Holdings, Inc.",MH,Back Office,Jobs Track,350,155,"4,500,000.00",0.00,"3,000,000.00"
"Par Pharmaceutical Companies, Inc.",MH,Manufacturing,Jobs Track,394,164,"26,600,000.00",0.00,"2,500,000.00"
"PepsiCo, Inc.",MH,Back Office,Investment Track,"1,100",0,"200,000,000.00",0.00,"4,000,000.00"
Pratt & Whitney,MH,Manufacturing,Jobs Track,95,100,0.00,0.00,"1,600,000.00"
Protein Sciences Corp,MH,Manufacturing,Jobs Track,0,100,0.00,0.00,"2,000,000.00"
"Raymours Furniture Co., Inc.",MH,Distribution,Jobs Track,"2,027",300,"46,000,000.00",0.00,"2,325,000.00"
"Regeneron Pharmaceuticals, Inc. (MH#1)",MH,Back Office,Jobs Track,"1,916",500,0.00,0.00,"10,200,000.00"
RIJ Pharmaceutical Corporation,MH,Manufacturing,Jobs Track,15,52,0.00,0.00,"400,000.00"
Selux Corporation,MH,Manufacturing,Jobs Track,163,12,0.00,0.00,"100,000.00"
"Silarx Pharmaceuticals, Inc.",MH,Manufacturing,Jobs Track,40,69,0.00,0.00,"952,757.00"
Ultra Seal Corporation,MH,Manufacturing,Jobs Track,165,10,"882,080.00",0.00,"137,517.00"
"United Natural Foods, Inc.",MH,Distribution,Jobs Track,103,362,"50,000,000.00",0.00,"3,600,000.00"
"USAI, LLC",MH,Manufacturing,Jobs Track,134,99,0.00,0.00,"820,000.00"
Warwick Valley Wine Co. Inc.,MH,Manufacturing,Jobs Track,61,10,"1,604,775.00",0.00,"169,000.00"
"Xylem, Inc.",MH,Back Office,Investment Track,807,15,"10,800,000.00",0.00,"1,350,000.00"
"Zumtobel Lighting, Inc.",MH,Manufacturing,Investment Track,202,0,"6,400,000.00","5,400,000.00","290,000.00"
"Anheuser-Busch InBev Worldwide, Inc. (mfg)",Multi-Reg,Manufacturing,Jobs Track,960,38,"96,050,000.00",0.00,"2,300,000.00"
"Doolli, Inc.",Multi-Reg,Back Office,Jobs Track,10,225,0.00,0.00,"2,100,000.00"
First Niagara Financial Group,Multi-Reg,Financial Svcs,Jobs Track,"1,492",500,"20,508,015.00",0.00,"5,720,010.00"
Signature Bank,Multi-Reg,Financial Svc,Jobs Track,706,131,0.00,0.00,"800,000.00"
"Universal Photonics, Inc.",Multi-Reg,Manufacturing,Jobs Track,100,30,"3,750,000.00","4,483,410.00","1,316,294.00"
Burrows Paper Corporation,MV,Manufacturing,Investment Track,240,0,"15,000,000.00",0.00,"300,000.00"
Cryo Pure Corp.,MV,Manufacturing,Jobs Track,0,13,0.00,0.00,"150,000.00"
"DeIorio Foods, Inc.",MV,Manufacturing,Jobs Track,130,55,0.00,"891,000.00","450,000.00"
"Dolgencorp, LLC",MV,Distribution,Jobs Track,"1,010",430,0.00,0.00,"4,000,000.00"
Fiber Instrument Sales Inc.,MV,Manufacturing,Jobs Track,199,35,0.00,0.00,"200,000.00"
Gehring Tricot Corporation,MV,Manufacturing,Investment Track,149,7,"2,006,727.00",0.00,"200,000.00"
"HP Hood, LLC",MV,Manufacturing,Investment Track,892,10,0.00,0.00,"105,000.00"
"Indium Corporation of America, Inc.",MV,Manufacturing,Investment Track,320,24,"925,000.00","900,000.00","652,061.00"
"Johnstown Renewables, LLC",MV,Manufacturing,Jobs Track,0,27,"10,930,000.00",0.00,"940,000.00"
"Kris-Tech Wire Company, Inc.",MV,Manufacturing,Investment Track,36,3,0.00,0.00,"98,000.00"
MH Stallman Company,MV,Manufacturing,Jobs Track,14,100,0.00,0.00,"400,000.00"
"Northern Safety Co., Inc.",MV,Manufacturing,Jobs Track,209,75,0.00,0.00,"200,000.00"
PAR Technology Corporation,MV,Manufacturing,Jobs Track,358,77,0.00,0.00,"330,000.00"
The Fountainhead Group,MV,Manufacturing,Investment Track,176,7,"2,750,000.00","5,381,100.00","300,000.00"
Trenton Technology Inc.,MV,Manufacturing,Jobs Track,181,30,0.00,"4,000,000.00","500,000.00"
"Agbotic, Inc.",NC,Agriculture,Jobs Track,4,35,"11,250,000.00",0.00,"925,000.00"
"CM&M Industries, Inc. (NC)",NC,Manufacturing,Jobs Track,1,97,0.00,0.00,"500,000.00"
"Cquest Partners, LLC",NC,Scientific R & D,Jobs Track,0,12,0.00,0.00,"229,000.00"
"Fujitsu Frontech North America, Inc.",NC,Manufacturing,Jobs Track,22,53,0.00,0.00,"250,000.00"
MetalCraft Marine U.S. Inc.,NC,Manufacturing,Jobs Track,11,63,"1,950,000.00",0.00,"400,000.00"
"North American Forest Group, Inc.",NC,Manufacturing,Jobs Track,92,50,"13,000,000.00",0.00,"1,500,000.00"
"North American Tapes, LLC",NC,Manufacturing,Jobs Track,26,15,0.00,0.00,"150,000.00"
Paradox Brewery LLC,NC,Manufacturing,Jobs Track,5,22,0.00,0.00,"100,000.00"
Plastitel USA Inc.,NC,Manufacturing,Jobs Track,0,24,0.00,0.00,"100,000.00"
"Roth Industries, Inc.",NC,Manufacturing,Jobs Track,42,12,"5,135,000.00",0.00,"425,000.00"
"SpencerARL New York, Inc.",NC,Manufacturing,Jobs Track,42,43,0.00,0.00,"300,000.00"
"SterRx, LLC",NC,Manufacturing,Jobs Track,0,80,"4,210,000.00",0.00,"794,580.00"
"STREAM New York, Inc.",NC,Back Office,Jobs Track,501,300,0.00,0.00,"1,500,000.00"
"Upstate Niagara Cooperative, Inc.",NC,Manufacturing,Investment Track,709,0,"11,000,000.00",0.00,"220,000.00"
"AbleTo, Inc.",NYC,Software Dev,Jobs Track,90,94,0.00,0.00,"1,952,100.00"
"ADP Technology Services, Inc.",NYC,Back Office,Jobs Track,46,110,"10,877,576.00",0.00,"2,000,000.00"
"AHAlife Holdings, Inc.",NYC,Software Dev,Jobs Track,30,200,0.00,0.00,"1,750,000.00"
Amazon Corporate LLC (1),NYC,Back Office,Investment Track,174,50,"8,497,500.00",0.00,"2,000,000.00"
"Amazon Corporate, LLC (2)",NYC,Back Office,Jobs Track,786,500,0.00,0.00,"5,000,000.00"
"Anheuser-Busch InBev Worldwide, Inc. (comm hub)",NYC,Back Office,Jobs Track,960,275,0.00,0.00,"14,000,000.00"
"Bankrate, Inc.",NYC,Back Office,Jobs Track,70,89,0.00,0.00,"750,000.00"
"BarkBox, Inc.",NYC,Back Office,Jobs Track,78,177,0.00,0.00,"1,000,000.00"
BNY Mellon,NYC,Financial Svc,Investment Track,"8,890",0,"150,000,000.00",0.00,"3,000,000.00"
Boyce Technologies Inc.,NYC,Manufacturing,Jobs Track,58,41,"9,722,250.00",0.00,"1,635,000.00"
"Bright Power, Inc.",NYC,Back Office,Jobs Track,65,63,0.00,0.00,"970,000.00"
"Brooks Brothers Group, Inc.",NYC,Manufacturing,Jobs Track,210,38,0.00,0.00,"700,000.00"
"BSP Greenhouse, LLC",NYC,Agriculture,Jobs Track,0,20,0.00,0.00,"350,000.00"
"Buzzfeed, Inc.",NYC,Back Office,Jobs Track,320,475,0.00,0.00,"4,000,000.00"
"Casper Sleep, Inc.",NYC,Back Office,Jobs Track,34,307,0.00,0.00,"3,100,000.00"
Cellectis Inc.,NYC,Scientific R & D,Jobs Track,0,23,0.00,0.00,"575,000.00"
"Chloe and Isabel, Inc.",NYC,Back Office,Jobs Track,54,81,0.00,0.00,"600,000.00"
"Click Therapeutics, Inc.",NYC,Software Dev,Jobs Track,13,110,0.00,0.00,"500,000.00"
Comprehensive Health Management Inc. DBA Wellcare,NYC,Back Office,Jobs Track,632,200,0.00,0.00,"1,000,000.00"
Cosmoledo LLC,NYC,Manufacturing,Jobs Track,520,100,0.00,0.00,"450,000.00"
Cresilon Inc.,NYC,Scientific R & D,Jobs Track,23,25,0.00,0.00,"250,000.00"
"Crye American, LLC",NYC,Manufacturing,Jobs Track,86,75,"4,000,000.00",0.00,"1,000,000.00"
"Daily Muse, Inc.",NYC,Software Dev,Jobs Track,130,333,0.00,0.00,"4,000,000.00"
"Datadog, Inc.",NYC,Software Dev,Jobs Track,69,168,0.00,0.00,"1,500,000.00"
"Doran Jones, LLP",NYC,Back Office,Jobs Track,15,300,0.00,0.00,"1,000,000.00"
DoubleVerify Inc.,NYC,Software Dev,Jobs Track,70,64,"8,450,000.00","2,500,000.00","750,000.00"
"Duggal Visual Solutions, Inc.",NYC,Manufacturing,Jobs Track,280,165,"14,443,264.00",0.00,"881,000.00"
E. Gluck Corporation,NYC,Distribution,Investment Track,362,80,"19,880,000.00",0.00,"2,500,000.00"
"Etsy, Inc.",NYC,New Media,Jobs Track,412,340,0.00,0.00,"5,000,000.00"
FactSet Research Systems Inc.,NYC,Software Dev,Jobs Track,471,119,0.00,0.00,"1,600,000.00"
Fairway Bakery LLC,NYC,Manufacturing,Jobs Track,"2,705",152,"12,000,000.00",0.00,"1,800,000.00"
"Fastener Dimensions, Inc.",NYC,Manufacturing,Jobs Track,26,10,"371,000.00",0.00,"100,000.00"
"Fresh Direct Holdings, Inc",NYC,Distribution,Jobs Track,"1,949",946,"98,237,100.00",0.00,"18,930,228.00"
"Fusion Media Network, LLC",NYC,New Media,Jobs Track,44,100,0.00,0.00,"840,000.00"
FXE Industries Inc.,NYC,Manufacturing,Jobs Track,2,48,0.00,0.00,"460,000.00"
G.A.L. Manufacturing Corporation,NYC,Manufacturing,Jobs Track,361,53,0.00,0.00,"276,500.00"
"Galderma Laboratories, Inc.",NYC,Scientific R & D,Jobs Track,0,40,0.00,0.00,"1,000,000.00"
"Genius Media Group, Inc.",NYC,Back Office,Jobs Track,30,76,0.00,0.00,"300,000.00"
Giumenta Corp. dba Architectural Grille,NYC,Manufacturing,Jobs Track,32,11,0.00,0.00,"121,000.00"
"Gotham Greens Holdings, LLC",NYC,Agriculture,Jobs Track,16,30,0.00,0.00,"152,000.00"
"GPS Services, Inc.  (2)",NYC,Back Office,Jobs Track,832,200,0.00,0.00,"2,500,000.00"
"GPS Services, Inc. (1)",NYC,Back Office,Investment Track,196,125,"400,000.00",0.00,"720,000.00"
Harbor Sound Inc.,NYC,New Media,Jobs Track,30,35,0.00,0.00,"550,000.00"
"Intra-Cellular Therapies, Inc.",NYC,Scientific R & D,Jobs Track,16,12,0.00,0.00,"840,000.00"
"J. Crew, Inc.",NYC,Back Office,Jobs Track,"1,250",100,0.00,0.00,"1,800,000.00"
"Jos H Lowenstein & Sons, Inc.",NYC,Manufacturing,Jobs Track,84,16,0.00,0.00,"100,000.00"
"Just Bagels Baking, LLC",NYC,Manufacturing,Jobs Track,0,53,0.00,0.00,"234,000.00"
"KCG Holdings, Inc.",NYC,Back Office,Jobs Track,91,615,0.00,0.00,"15,000,000.00"
"KGBL, MFG, Inc.",NYC,Manufacturing,Jobs Track,8,12,0.00,0.00,"120,000.00"
"Koppers Specialty Chocolates Co., Inc.",NYC,Manufacturing,Jobs Track,36,27,0.00,0.00,"556,000.00"
KPMG LLP,NYC,Software Dev,Jobs Track,"4,177",187,0.00,0.00,"1,640,000.00"
"Lady M Confections Co., Ltd.",NYC,Manufacturing,Jobs Track,62,35,0.00,0.00,"275,000.00"
"L'Oreal USA, Inc.",NYC,Back Office,Investment Track,"1,548",145,"56,000,000.00",0.00,"5,500,000.00"
Macy's Inc.,NYC,Back Office,Jobs Track,"1,027",583,0.00,0.00,"7,570,705.00"
"McGraw-Hill Global Education, LLC",NYC,Back Office,Investment Track,624,50,"2,500,000.00",0.00,"2,600,000.00"
"Medidata Solutions, Inc.",NYC,Software Dev,Jobs Track,271,250,0.00,0.00,"2,750,000.00"
"Medidata Solutions, Inc. (2)",NYC,Software Dev,Jobs Track,445,400,0.00,0.00,"17,000,000.00"
"Meetup, Inc.",NYC,Back Office,Jobs Track,103,92,0.00,0.00,"750,000.00"
"Menu Solutions, Inc.",NYC,Manufacturing,Jobs Track,86,30,0.00,0.00,"125,000.00"
"M-Fried Store Fixtures, Inc.",NYC,Manufacturing,Jobs Track,110,26,0.00,0.00,"300,000.00"
Mobo Systems Inc. dba OLO (ETIP),NYC,Software Dev,,,,,,
"Mobo Systems, Inc.",NYC,Software Dev,Jobs Track,34,68,0.00,0.00,"500,000.00"
Morgan Stanley & Co. LLC,NYC,Financial Svcs,Jobs Track,"2,459","1,764","357,100,000.00","749,547,530.00","52,000,000.00"
"OnDeck Capital, Inc.",NYC,Back Office,Jobs Track,263,600,0.00,0.00,"5,500,000.00"
"Orchard Enterprises NY, Inc.",NYC,Software Dev,Jobs Track,178,94,"1,252,725.00",0.00,"700,000.00"
Pond5 Inc.,NYC,New Media,Jobs Track,14,75,0.00,0.00,"750,000.00"
"Ralph Rucci, LLC",NYC,Manufacturing,Jobs Track,47,18,0.00,0.00,"411,944.00"
"Refinery 29, Inc.",NYC,New Media,Jobs Track,315,225,0.00,0.00,"2,500,000.00"
"Rent the Runway, Inc.",NYC,Back Office,Jobs Track,161,100,"1,040,565.00",0.00,"1,546,000.00"
"Roche TCRC, Inc.",NYC,Scientific R & D,Jobs Track,0,235,0.00,"164,000,000.00","6,600,000.00"
"Ryzac, Inc. dba Codecademy",NYC,Software Dev,Jobs Track,12,82,0.00,"23,225,000.00","500,000.00"
"Sailthru, Inc.",NYC,Back Office,Jobs Track,112,140,"220,800.00",0.00,"500,000.00"
"Salesforce.com, Inc.",NYC,Software Dev,Jobs Track,600,410,0.00,0.00,"5,000,000.00"
"SAP America, Inc.",NYC,Back Office,Investment Track,345,,"35,597,900.00",0.00,"711,958.00"
"SGFW Bakers, Inc.",NYC,Manufacturing,Jobs Track,150,17,0.00,0.00,"96,000.00"
"Shapeways, Inc.",NYC,Manufacturing,Jobs Track,20,50,0.00,0.00,"200,000.00"
"Shiel Medical Laboratory, Inc.",NYC,Scientific R & D,Jobs Track,440,308,"10,000,000.00",0.00,"2,800,000.00"
"ShopKeep.com, Inc.",NYC,Back Office,Jobs Track,80,365,"1,034,765.00","16,338,000.00","750,000.00"
"Sisense, Inc.",NYC,Back Office,Jobs Track,90,230,0.00,0.00,"1,000,000.00"
"Snapchat, Inc.",NYC,Software Dev,Jobs Track,118,396,0.00,0.00,"5,000,000.00"
"Spreemo, LLC",NYC,Back Office,Jobs Track,0,98,0.00,0.00,"600,000.00"
Square Inc.,NYC,Back Office,Jobs Track,35,382,0.00,0.00,"5,000,000.00"
"Terrafina, LLC (1)",NYC,Manufacturing,Jobs Track,47,25,"500,000.00",0.00,"200,000.00"
"Terrafina, LLC (2)",NYC,Manufacturing,Jobs Track,87,11,0.00,0.00,"100,000.00"
The Credit Junction LLC,NYC,Software Dev,Jobs Track,19,90,0.00,"13,333,333.00","900,000.00"
"The Late Show, Inc.",NYC,Entertainment Co,Jobs Track,0,200,"24,566,500.00",0.00,"11,100,000.00"
Time Inc.,NYC,Back Office,Investment Track,"2,917",0,"150,000,000.00",0.00,"3,000,000.00"
"Time Warner, Inc.",NYC,Back Office,Investment Track,"3,648",0,"700,000,000.00",0.00,"14,000,000.00"
Transcontinental Ultra Flex Inc.,NYC,Manufacturing,Jobs Track,264,51,"33,050,000.00",0.00,"2,000,000.00"
"Truveris, Inc.",NYC,Software Dev,Jobs Track,57,54,0.00,0.00,"550,000.00"
Tullett Prebon (Americas) Holdings Inc.,NYC,Other,Jobs Track,238,530,0.00,0.00,"12,500,000.00"
"Urban Electric Power, LLC",NYC,Manufacturing,Jobs Track,4,64,0.00,0.00,"522,000.00"
Vice Media Inc.,NYC,Other,Jobs Track,410,525,0.00,0.00,"6,500,000.00"
"View The Space, Inc.",NYC,Back Office,Jobs Track,86,200,0.00,0.00,"2,000,000.00"
Vox Media,NYC,New Media,Jobs Track,215,400,0.00,0.00,"4,800,000.00"
Wonton Food Inc.,NYC,Manufacturing,Investment Track,369,23,0.00,0.00,"556,635.00"
"ZocDoc, Inc.",NYC,Back Office,Jobs Track,415,128,0.00,0.00,"1,500,000.00"
"ADEC Solutions USA, Inc.",ST,Back Office,Jobs Track,81,261,0.00,0.00,"750,000.00"
BorgWarner Morse Systems,ST,Manufacturing,Jobs Track,"1,511",40,"139,974,000.00",0.00,"3,200,000.00"
"Chobani, Inc.",ST,Manufacturing,Jobs Track,392,192,"30,000,000.00","5,000,000.00","4,949,300.00"
Corning Incorporated,ST,Manufacturing,Jobs Track,"5,290",250,"234,580,000.00","885,209,702.00","40,000,000.00"
"Crown Cork & Seal USA, Inc.",ST,Manufacturing,Jobs Track,0,164,"131,800,000.00",0.00,"8,100,000.00"
"Dick�s Merchandising and Supply Chain, Incorporated",ST,Distribution,Jobs Track,0,466,"83,000,000.00",0.00,"6,000,000.00"
"Engineering Manufacturing Technologies, LLC",ST,Manufacturing,Jobs Track,118,25,"5,145,000.00",0.00,"750,000.00"
"Fortitude Industries, Inc. dba Advanced Transit Manufacturing",ST,Manufacturing,Jobs Track,30,11,0.00,0.00,"150,000.00"
Golden Artist Colors Incorporated,ST,Manufacturing,Jobs Track,153,37,0.00,0.00,"500,000.00"
"Granite Works, LLC",ST,Manufacturing,Investment Track,21,5,"1,150,000.00","1,150,000.00","125,000.00"
"Midwestern Pet Foods, Incorporated",ST,Manufacturing,Jobs Track,40,10,0.00,0.00,"275,000.00"
"Norwich Pharmaceuticals, Inc.",ST,Manufacturing,Jobs Track,334,27,"20,227,000.00","25,000,000.00","2,000,000.00"
"Rheonix, Incorporated",ST,Manufacturing,Jobs Track,42,171,"6,061,000.00","9,625,034.00","2,000,000.00"
"SEPAC, Incorporated",ST,Manufacturing,Jobs Track,44,12,0.00,0.00,"200,000.00"
"TeamWorld, Incorporated",ST,Manufacturing,Jobs Track,86,25,0.00,0.00,"350,000.00"
"Tioga Hardwoods, Incorporated",ST,Manufacturing,Investment Track,42,6,0.00,0.00,"150,000.00"
3M Company,WNY,Manufacturing,Jobs Track,488,39,0.00,0.00,"1,000,000.00"
"ABC Companies, Inc., The",WNY,Back Office,Investment Track,104,49,0.00,0.00,"200,000.00"
"Blue Bridge Financial, LLC",WNY,Financial Svc,Jobs Track,12,71,0.00,0.00,"586,173.00"
"Boston Valley Pottery, Inc.",WNY,Manufacturing,Jobs Track,130,42,"7,003,000.00",0.00,"975,000.00"
"Buffalo Games, Inc.",WNY,Manufacturing,Jobs Track,62,35,0.00,0.00,"400,000.00"
"Buffalo Outfront Metalworks, L.P.",WNY,Manufacturing,Jobs Track,8,49,0.00,0.00,"450,000.00"
"Buffalo Wire Works Co., Inc.",WNY,Manufacturing,Jobs Track,130,50,"5,101,000.00",0.00,"1,024,270.00"
Calspan Corporation,WNY,Scientific R & D,Jobs Track,147,11,"6,070,000.00","700,000.00","639,710.00"
"Campus Labs, Inc.",WNY,Software Dev,Jobs Track,99,75,0.00,"23,500,000.00","2,000,000.00"
CI Filing Systems LLC,WNY,Manufacturing,Jobs Track,22,80,0.00,0.00,"800,000.00"
Columbus McKinnon Corporation,WNY,Back Office,Investment Track,131,10,"5,270,000.00",0.00,"540,000.00"
"Congoo, LLC",WNY,Software Dev,Jobs Track,9,30,0.00,0.00,"300,000.00"
Cummins Inc.,WNY,Manufacturing,Jobs Track,"1,413",10,"94,700,000.00",0.00,"2,000,000.00"
"Edwards Vacuum, Inc.",WNY,Manufacturing,Jobs Track,105,28,0.00,0.00,"515,900.00"
ENrG Incorporated,WNY,Manufacturing,Jobs Track,10,61,0.00,0.00,"601,500.00"
Evolution Dental Science LLC,WNY,Manufacturing,Jobs Track,43,50,0.00,0.00,"319,000.00"
"FedEx Trade Networks Transport and Brokerage, Inc.",WNY,Back Office,Investment Track,947,82,"4,554,163.00",0.00,"2,256,368.00"
"Finger Foods Products, Inc.",WNY,Manufacturing,Jobs Track,16,11,"3,955,000.00",0.00,"243,158.00"
"First Source, LLC",WNY,Distribution,Investment Track,166,52,0.00,0.00,"950,000.00"
"Firstsource Advantage, LLC",WNY,Back Office,Jobs Track,620,82,0.00,0.00,"830,000.00"
"Flexovit USA, Inc.",WNY,Manufacturing,Jobs Track,45,61,0.00,0.00,"900,000.00"
Ford Motor Company,WNY,Manufacturing,Investment Track,572,0,"101,000,000.00",0.00,"2,000,000.00"
General Motors LLC #2 (Lockport),WNY,Manufacturing,Investment Track,"4,322",0,"43,100,000.00",0.00,"862,000.00"
General Motors LLC (Powertrain/GPS),WNY,Manufacturing,Jobs Track,"4,199",101,"170,000,000.00",0.00,"4,000,000.00"
Hebeler Corporation,WNY,Manufacturing,Jobs Track,136,55,0.00,0.00,"1,196,855.00"
"Immco Diagnostics, Inc.",WNY,Manufacturing,Jobs Track,77,63,0.00,0.00,"1,050,000.00"
Ingram Micro Inc.,WNY,Back Office,Jobs Track,"1,326",249,0.00,0.00,"7,697,825.00"
"International Imaging Materials, Inc. (2)",WNY,Manufacturing,Investment Track,340,0,"23,141,266.00","11,839,362.00","792,271.00"
"Ivoclar Vivadent, Inc.",WNY,Back Office,Investment Track,197,33,"4,150,000.00",0.00,"1,000,000.00"
Jacobs Ladder LLC,WNY,Manufacturing,Jobs Track,15,17,0.00,0.00,"144,680.00"
"Jiffy-Tite Company, Inc.",WNY,Manufacturing,Jobs Track,139,100,0.00,0.00,"633,200.00"
"Mentholatum Company, The",WNY,Manufacturing,Jobs Track,152,24,"3,500,000.00",0.00,"600,000.00"
National Recovery Solutions LLC,WNY,Financial Svc,Jobs Track,33,70,0.00,0.00,"500,000.00"
Nestle Purina PetCare Company,WNY,Manufacturing,Jobs Track,354,25,0.00,0.00,"2,000,000.00"
New Buffalo Shirt Factory,WNY,Manufacturing,Jobs Track,5,17,0.00,0.00,"125,000.00"
Niagara Blower Company,WNY,Manufacturing,Jobs Track,104,25,"3,225,000.00",0.00,"800,000.00"
Niagara Transformer Corp.,WNY,Manufacturing,Investment Track,69,14,0.00,0.00,"533,136.00"
Nulife Glass NY Inc.,WNY,Manufacturing,Jobs Track,0,25,0.00,0.00,"203,106.00"
Olin Corporation,WNY,Manufacturing,Investment Track,177,11,"15,250,000.00",0.00,"971,674.00"
"One Touch Direct - NY, Inc.",WNY,Back Office,Jobs Track,2,271,"1,548,000.00",0.00,"1,250,000.00"
Packstar Group Inc.,WNY,Manufacturing,Jobs Track,102,20,"5,792,000.00",0.00,"500,000.00"
"Performance Learning Systems, Inc. d/b/a PLS 3rd Learning",WNY,Back Office,Investment Track,35,22,0.00,"5,833,333.00","475,000.00"
Peroxychem LLC,WNY,Manufacturing,Investment Track,172,10,0.00,"17,222,132.00","1,000,000.00"
"Pfannenberg, Inc.",WNY,Manufacturing,Jobs Track,78,23,0.00,0.00,"550,000.00"
Pine Pharmaceuticals LLC,WNY,Manufacturing,Jobs Track,28,15,0.00,0.00,"500,000.00"
"Polymer Conversions, Inc.",WNY,Manufacturing,Investment Track,71,0,"2,509,087.00","3,565,120.00","150,000.00"
"Power Drives, Inc.",WNY,Manufacturing,Jobs Track,132,34,"4,403,950.00",0.00,"800,000.00"
"Quadpharma, LLC",WNY,Scientific R & D,Jobs Track,14,68,0.00,0.00,"1,000,000.00"
"Rand Machine Products, Inc.",WNY,Manufacturing,Investment Track,102,10,"4,252,000.00",0.00,"405,106.00"
Rich Products Corporation,WNY,Scientific R & D,Jobs Track,843,17,"16,625,000.00","39,400,000.00","2,938,250.00"
"Roger L. Urban, Inc. d/b/a Platters Chocolates",WNY,Manufacturing,Jobs Track,15,35,0.00,0.00,"175,000.00"
"Ru�s Pierogi, LLC",WNY,Manufacturing,Jobs Track,0,20,0.00,0.00,"150,000.00"
"Seal & Design, Inc.",WNY,Manufacturing,Jobs Track,75,14,0.00,"970,668.00","270,000.00"
Sentient Corporation,WNY,Scientific R & D,Jobs Track,1,86,"10,505,000.00","12,000,000.00","811,534.00"
Sherwood Electromotion Inc.,WNY,Manufacturing,Jobs Track,14,38,0.00,0.00,"250,000.00"
TexWeb Inc,WNY,Manufacturing,Jobs Track,0,10,0.00,0.00,"142,415.00"
"Time Warner Cable Northeast, LLC",WNY,Back Office,Jobs Track,"10,202",152,0.00,0.00,"3,100,000.00"
Trinity Packaging Corporation,WNY,Manufacturing,Jobs Track,139,21,"6,440,000.00",0.00,"556,240.00"
Trophy Foods Corp.,WNY,Manufacturing,Jobs Track,0,40,0.00,0.00,"286,175.00"
"Trove Predictive Data Science, LLC",WNY,Software Dev,Jobs Track,0,36,0.00,0.00,"600,000.00"
Tulip Molded Plastics Corporation,WNY,Manufacturing,Investment Track,85,8,"5,850,000.00","1,096,000.00","300,000.00"
"UltraCell Insullation, LLC",WNY,Manufacturing,Jobs Track,1,21,0.00,0.00,"220,173.00"
Welded Tube USA,WNY,Manufacturing,Jobs Track,0,121,0.00,0.00,"2,000,000.00"
"Wheatfield Gardens, LLC",WNY,Agriculture,Jobs Track,27,94,0.00,0.00,"750,000.00"
"WhiteRock Pigments, Inc.",WNY,Manufacturing,Jobs Track,0,125,0.00,0.00,"2,000,000.00"
Yahoo! Inc.,WNY,Back Office,Investment Track,470,115,0.00,0.00,"2,000,000.00"
Zenger Group,WNY,Manufacturing,Jobs Track,103,25,0.00,0.00,"495,000.00"
