Applicant Name,ESD Region,Type of Business,Track,Jobs When Certified,Net New Jobs Commitment,Investment Commitment,Research and Development Commitment,Maximum Tax Credits
"Teti Bakery USA, Inc.",CNY,Manufacturing,Jobs Track,0,63,0.00,"900,000.00","300,000.00"
"Time Warner Cable, Inc. (CNY)",CNY,Back Office,Jobs Track,"10,202",95,0.00,0.00,"2,000,000.00"
"US Concrete and Block Company, Inc.",CNY,Manufacturing,Jobs Track,76,40,0.00,0.00,"1,000,000.00"
"Welch Allyn, Inc.",CNY,Manufacturing,Jobs Track,915,109,"11,850,000.00","41,405,175.00","6,300,000.00"
1366 Technologies Inc. (Phase One),FL,Manufacturing,Jobs Track,0,300,0.00,"10,500,000.00","7,000,000.00"
1366 Technologies Inc. (Phase Two),FL,Manufacturing,Jobs Track,300,300,0.00,0.00,"3,300,000.00"
Addison Precision Manufacturing,FL,Manufacturing,Jobs Track,54,25,0.00,0.00,"250,000.00"
Advanced Atomization Technologies LLC,FL,Manufacturing,Jobs Track,317,87,0.00,0.00,"900,000.00"
Advanced Biological Marketing,FL,Scientific R & D,Jobs Track,3,14,0.00,0.00,"200,000.00"
"Advantage Metalwork & Finishing, LLC",FL,Manufacturing,Jobs Track,156,90,0.00,0.00,"900,000.00"
Alkemy Machine LLC,FL,Manufacturing,Jobs Track,12,25,0.00,0.00,"200,000.00"
Alpina Foods LLC,FL,Manufacturing,Jobs Track,0,43,0.00,0.00,"288,199.00"
American Aerogel Corporation,FL,Manufacturing,Jobs Track,40,25,0.00,0.00,"200,000.00"
American Heritage Homes,FL,Manufacturing,Jobs Track,0,100,0.00,0.00,"500,000.00"
"Arista Power, Inc.",FL,Manufacturing,Jobs Track,17,100,0.00,"10,731,600.00","900,000.00"
"Arnprior Rapid Manufacturing Solutions, Inc.",FL,Manufacturing,Jobs Track,150,30,0.00,0.00,"600,000.00"
Bausch & Lomb Incorporated (1),FL,Manufacturing,Jobs Track,931,112,"218,054,000.00","6,000,000.00","9,000,000.00"
Berryfield Bottling LLC,FL,Manufacturing,Jobs Track,15,25,0.00,0.00,"300,000.00"
